epoch,accuracy,loss,val_accuracy,val_loss,dog_accuracy,cat_accuracy
0,49.95000076293945,4.943098545074463,50.0,0.0,0.0,100.0
1,50.0,5.0,50.0,0.0,0.0,100.0
2,50.0,5.0,50.0,0.0,0.0,100.0
3,50.0,4.994999885559082,50.0,0.0,0.0,100.0
4,50.0,5.0,50.0,0.0,0.0,100.0
5,50.30000305175781,4.932961940765381,50.0,0.0,0.0,100.0
6,50.0,4.994999885559082,50.0,0.0,0.0,100.0
7,50.05000305175781,4.994999885559082,50.0,0.0,0.0,100.0
8,50.05000305175781,4.989999771118164,50.0,0.0,0.0,100.0
9,50.0,5.0,50.0,0.0,0.0,100.0
10,50.150001525878906,4.96576452255249,50.0,0.0,0.0,100.0
11,70.45000457763672,2.7680954933166504,86.625,0.020257911682128905,87.75,85.5
12,79.44999694824219,1.933683156967163,63.875,0.0875,100.0,27.750000000000004
13,79.4000015258789,1.953845739364624,85.5,0.0375,99.25,71.75
14,80.69999694824219,1.7846453189849854,84.375,0.05,98.25,70.5
15,81.30000305175781,1.7503266334533691,88.875,0.000918411836028099,85.75,92.0
16,83.30000305175781,1.5497276782989502,89.75,0.0125,92.5,87.0
17,82.80000305175781,1.6333285570144653,91.0,0.0125,90.25,91.75
18,78.75,2.0027904510498047,74.625,0.0,49.25,100.0
19,72.94999694824219,2.609999895095825,74.625,0.0,49.25,100.0
20,78.19999694824219,2.0751819610595703,85.0,0.0,71.75,98.25
21,83.5,1.5845404863357544,82.75,0.0,66.75,98.75
22,88.1500015258789,1.135376214981079,89.375,0.0125,96.25,82.5
23,88.4000015258789,1.1135667562484741,90.75,0.0,88.5,93.0
24,84.44999694824219,1.4877197742462158,82.25,0.0,65.75,98.75
25,81.05000305175781,1.8351324796676636,89.25,0.0,83.75,94.75
26,74.80000305175781,2.4561688899993896,89.375,0.0,84.75,94.0
27,84.0,1.5279552936553955,91.375,0.0125,93.5,89.25
28,88.95000457763672,1.0771288871765137,91.25,0.0,90.5,92.0
29,87.69999694824219,1.1616482734680176,85.5,0.0,72.5,98.5
